,Real,PointPre,Quant0.05,Quant0.15,Quant0.25,Quant0.35,Quant0.45,Quant0.55,Quant0.65,Quant0.75,Quant0.85,Quant0.95
0,642.077,645.547409577134,604.4254839831582,614.8498870499704,635.2208898242146,642.9316354542357,653.7131678110684,649.4687094925672,662.3965682676836,673.9119309115703,693.0332108038725,676.9030051987372
1,632.115,645.2950997952067,599.7326203144738,618.7640602476743,633.9265755376949,639.5638540890154,643.3731634501225,644.8472375128719,653.5965682676837,665.7417929648988,686.4332108038726,680.2856712415501
2,633.21,647.8933003180954,610.0839132832772,622.1638653325097,639.4269552602431,638.320125072848,649.6013088034365,651.8993085302164,653.091994448656,668.4124023475636,687.5941582526185,687.4418669496415
3,650.3530000000001,661.2538737027413,614.9313450018755,633.1016200755794,659.9249630325613,658.6119040897522,660.3226057840503,668.2833128029037,669.6133202903636,683.4288617099337,700.6582428053142,700.42033628584
4,699.023,722.3865732133418,676.9473347511847,686.3193517488071,700.0920565056159,701.2586192819979,712.5845812453136,719.0659658936764,737.3622819825744,739.1390988632863,748.1452554915608,746.559855415898
5,790.7239999999999,791.5433560902267,716.9347131873991,739.9038329181612,756.6057706844953,767.5613487709431,790.7409308079241,800.4852787373737,812.5413788956703,820.0489207806968,826.7146524440512,829.5596721761997
6,835.2610000000001,819.1282103577014,755.9136748901345,780.7296774963861,783.5412710096915,796.3376375341923,816.0072220815521,823.3582167866502,836.238193025068,849.5442529074995,861.6729154222102,863.0250200226944
7,812.1460000000001,827.5134725374126,761.8390239545373,795.3935484607068,800.7392912780655,807.49725638735,825.8431303352081,828.1152954124564,833.6116145437652,847.2505062610061,857.6650854222102,870.2135725732126
8,770.681,815.2979267910039,745.5460805269357,783.3473582580109,786.7105839434593,787.2399234318475,795.0503567938051,808.8940701841786,816.3835012125635,823.7841609358637,831.1434036417872,852.125082198409
9,739.96,794.4304548759512,722.6837698095229,760.1012822537798,763.41597471273,771.9190923688041,780.3905906588027,793.1265354847351,794.8709353275362,801.9672335482409,820.191427924598,833.4802376767245
10,725.7360000000001,762.9707203058608,707.4027877501807,729.8247498651647,739.0748980859818,749.181977846346,756.4723305603713,760.4384759764932,769.1579713233584,775.4746440086614,791.5184713362523,815.854990796154
11,708.1039999999999,738.2454033820118,684.059139409166,710.1351095807715,714.9441946260655,732.1119265997008,736.2059241981351,737.0582597905432,745.2019694650944,758.441724592281,767.322188802038,794.3812322238325
